Austempering Temperature (°C),Austempering Time (minutes),Initial Temperature (°C),Cooling Rate (°C/min),Chemical Composition (%),Hardness (HV),Strength (MPa),Melting Temperature (°C),Thermal Conductivity (W/m·K),Thermal Expansion Coefficient (1/K),Specific Heat (J/kg·K),Phase Transformation Temperature (°C)
1028.639642,124.7283625,885.9560899,11.00541741,0.522915144,482,554,1262.362036,39.26094938,1.10E-05,467.5740252,812.1715903
876.0120934,134.0271914,984.5850326,21.70573282,1.463097401,489,538,1435.214292,22.52419895,1.90E-05,511.4361356,645.7617129
1033.542629,38.95605941,1031.639795,13.3039905,0.403349957,514,568,1369.598183,24.84886142,1.51E-05,470.8041937,772.8865081
951.0680947,41.39436054,975.7631743,24.65122361,0.321600932,480,542,1329.597545,46.95662566,1.83E-05,435.4810135,782.0145139
947.8103027,73.99585244,911.0748752,17.8320062,0.710503727,467,505,1196.805592,38.19287179,1.32E-05,448.2543484,727.2392014
924.0959969,142.2955683,972.8306903,18.03610874,1.034303884,485,546,1196.798356,20.27591155,1.90E-05,584.3115072,820.9332707
1009.692251,89.89675452,875.6653264,7.525245048,0.938098953,478,546,1167.425084,23.04414629,1.39E-05,482.5334874,880.3101044
993.057581,76.96671217,967.7027892,7.540590113,0.313002468,495,549,1409.852844,39.90505307,1.01E-05,545.7079444,877.6705539
967.8974351,40.55835425,997.8645301,19.02754862,1.175739931,497,543,1330.334504,20.15184752,1.91E-05,601.3669083,735.2518114
976.8297001,41.93261165,965.2131274,7.249264666,0.535595236,483,544,1362.421773,24.82424154,1.09E-05,676.1579315,633.9714138
975.4603166,48.54144264,1000.176552,24.22303603,1.310189553,493,550,1156.175348,36.46201368,1.32E-05,415.7248559,895.4523597
873.7567929,86.95897482,1026.393318,12.82279363,0.231224829,493,531,1440.972956,40.75685593,1.95E-05,719.7641596,851.6694259
906.0567217,34.73241258,1024.663804,17.10165039,1.141816276,487,524,1399.732792,39.55883779,1.95E-05,651.1601558,637.3988044
970.1243369,135.5308438,905.6803139,12.38831671,0.579855594,483,517,1213.701733,26.72807928,1.57E-05,432.7036128,876.2525648
864.2848646,92.08300775,944.8058986,10.70932713,1.131752557,463,512,1204.54749,41.36537664,1.63E-05,749.4314496,860.9689086
890.5390307,126.7701545,960.0300542,10.82002808,0.878976555,473,523,1205.021353,27.11747262,1.45E-05,768.3489602,755.6514171
995.7436471,86.34011476,948.3884457,13.39878925,0.574904268,493,559,1241.272673,29.76199094,1.29E-05,424.4311839,777.3826307
1037.193229,70.12191238,986.5955019,15.72627369,0.628597278,509,564,1307.426929,42.39474215,1.33E-05,510.7510593,719.7008112
1016.52927,62.74832118,863.2966942,6.576271299,0.580402899,470,540,1279.583506,39.48898697,1.67E-05,722.4805119,616.4284916
1020.901841,69.13160234,892.3428116,18.25338031,1.460627644,483,542,1237.368742,45.47670231,1.75E-05,699.3038762,700.5591725
885.6660628,99.24047149,945.8498388,14.12442739,0.336769629,474,506,1333.555868,39.72838677,1.79E-05,473.8084077,840.8560346
956.1338626,113.3419288,899.3536319,16.26137101,0.676460051,469,532,1191.848158,37.0492581,1.79E-05,483.7397293,601.3896069
915.5601872,81.70582356,874.7988258,8.837301752,1.129306377,448,502,1237.643395,22.81024303,1.09E-05,548.1888411,700.0497515
942.3392662,73.11956437,904.7618264,13.85578984,1.200433701,459,514,1259.908553,31.03147409,1.49E-05,593.8091941,719.4506081
923.7132021,102.1935587,917.5974773,14.78155005,0.980795256,475,524,1286.820995,27.95607103,1.06E-05,647.3019086,761.2186809
962.8528236,46.05475206,992.9980109,19.23106569,0.503874352,491,530,1385.552788,27.3196893,1.55E-05,547.5654558,875.9566849
888.1539391,136.5277169,1007.819239,19.47010383,0.206171139,490,551,1209.902135,49.19031664,1.44E-05,585.0138865,703.9037983
1029.663946,138.4740961,1008.695004,8.708589527,0.488802386,519,583,1304.270332,31.79293174,1.89E-05,698.9883753,704.0859606
1027.696114,144.118994,940.3375814,19.63270181,0.820081673,499,567,1327.724371,46.76139666,1.35E-05,414.6732812,821.2503744
886.0995857,138.0276123,854.7519088,24.59582073,0.615919292,439,498,1163.935124,38.93415878,1.12E-05,500.9747777,735.6653823
979.4910122,125.6040904,886.9465016,13.77112895,1.089661272,474,528,1332.263456,43.84433911,1.14E-05,685.3398344,667.3814469
954.7392674,63.23396566,894.9500106,22.66236654,0.332172249,470,515,1201.157237,35.07911279,1.76E-05,758.0827351,735.7318548
935.4751554,69.29216106,907.8827828,22.27901004,0.856214799,466,524,1169.515478,37.30711654,1.62E-05,604.6709768,642.2571061
978.2062905,116.4077137,910.8462409,21.27427645,0.975441934,474,533,1434.665661,34.77553081,1.10E-05,612.8453941,652.916096
953.9935396,75.95668411,1012.574737,6.57311807,0.919238389,498,545,1439.68961,25.85728963,1.08E-05,442.8688045,749.5103318
886.8954675,35.30013001,872.923152,13.3929945,0.850664773,439,489,1392.519204,41.67356346,1.70E-05,578.9649467,725.6776349
902.7591949,52.56019562,913.5983666,16.62622306,1.345398223,456,500,1241.384131,28.42317087,1.07E-05,613.0469066,874.4537703
937.7522677,128.0547804,943.7132736,20.43790711,0.857095914,472,535,1179.301634,20.72947899,1.82E-05,496.9882015,708.7181697
906.9085389,125.7068483,887.0528503,18.95095166,1.015173485,457,516,1355.269908,39.36416888,1.71E-05,507.6972924,774.1765051
874.4498787,98.16904337,1010.753962,24.7680269,0.447697832,479,542,1282.045748,25.31332038,1.08E-05,550.9136652,789.6792864
941.9169508,116.0874461,882.6597541,6.542153509,1.022265759,466,525,1186.61147,48.21375753,1.08E-05,408.0284791,603.928337
894.8775009,71.5001264,852.5829553,7.06938362,0.911440133,441,494,1298.553073,48.61785731,1.99E-05,528.8316662,799.0612116
1003.30891,32.98620559,976.3315149,24.84959876,0.764878727,494,540,1160.316556,47.44593171,1.37E-05,484.5792028,653.4107901
924.4089524,84.36349253,908.0518939,6.003690162,0.210592954,464,504,1422.796121,31.10476101,1.37E-05,530.9989409,888.3210952
966.5150903,109.9679396,876.9787531,19.89081653,1.275345184,472,518,1227.633994,20.4636985,1.81E-05,447.9048527,644.5988183
