Austempering Temperature (°C),Austempering Time (minutes),Initial Temperature (°C),Carbon (%),Silicon (%),Manganese (%),Strength (MPa),Melting Temperature (°C),Thermal Conductivity (W/m·K),Thermal Expansion Coefficient (1/K),Specific Heat (J/kg·K),Phase Transformation Temperature (°C),Cooling Rate (°C/min),Hardness (HV)
274.9080238,57.76993933,904.6822735,1.378135689,1.186792169,0.847907489,753.7798679,1215.519782,41.60803772,1.84E-05,512.0922455,759.9091684,40.01503603,482.1576811
390.1428613,111.2851421,898.7915196,1.613694655,1.630321426,0.999527753,420.6704535,1274.709011,40.61849013,1.10E-05,499.8736289,641.3696465,55.29223208,397.8292866
346.3987884,160.9418754,1162.501832,0.575889008,1.544305767,1.723640047,910.6761943,1532.498322,22.87262596,1.48E-05,452.8461738,777.3728717,56.1857528,532.3435325
319.7316968,139.833733,899.8184799,1.287260789,0.392409819,0.746008334,729.1813673,1506.707343,47.67717215,9.28E-06,582.180001,694.4356871,48.14129659,493.5416395
231.2037281,150.9841722,908.7798905,1.186317368,0.383573993,1.752334401,410.0427185,1340.257077,37.05416606,1.30E-05,542.9872482,615.70463,41.5974362,392.6669531
231.1989041,128.817505,1103.759305,1.682377716,0.609531299,0.267455419,973.6366402,1350.724251,30.91176563,7.47E-06,659.7102977,884.5968473,41.72827081,587.3976718
211.6167224,133.8414847,979.895937,1.821565415,0.78604198,1.575917031,662.8558243,1413.421773,42.6961575,6.72E-06,409.6328741,792.4471107,40.1599448,473.3513592
373.2352292,157.3793477,1110.684223,0.123097866,0.876065605,1.710340503,351.0289163,1200.096402,27.72096375,1.20E-05,593.1603783,863.0756796,56.76434934,431.9207727
320.2230023,67.45020133,826.146463,1.380637846,1.391424712,0.44545354,738.7830331,1296.497734,40.80529511,1.05E-05,628.8846636,802.8168015,45.23435663,496.5653116
341.6145156,103.4137445,995.0284775,0.198488018,0.207692821,0.917658412,477.2392349,1283.292723,21.19133623,1.20E-05,627.8459708,707.0951076,49.58690086,424.09205
204.1168989,63.18141627,813.4454401,1.142831464,0.165878138,0.414449572,862.5854163,1300.193179,45.18224113,6.45E-06,665.8221901,753.8064217,32.31307193,518.7059939
393.9819704,178.1502012,825.0612814,0.646502185,0.84463007,1.442547845,872.4754515,1522.362337,33.44512541,7.97E-06,618.7101228,802.7240281,57.68040003,546.5909517
366.4885282,171.608901,1162.574981,0.682875539,1.424611015,1.117160759,985.2631491,1311.869543,39.10078743,2.59E-06,678.3430185,888.0756976,58.38410837,574.3045712
242.4678221,35.91402171,855.6981484,0.770621157,0.467527152,1.307114359,651.3086717,1276.608529,26.63713459,1.99E-06,499.7969799,676.1008377,34.13689147,440.9104185
236.3649934,135.8362759,1012.968273,1.280455653,1.318858514,0.473325237,618.4698158,1401.705384,40.31221138,5.82E-06,550.962825,862.4931176,43.1221799,489.3783103
236.680902,168.7872476,964.438241,0.734694935,0.593673462,0.502317138,827.4329238,1546.258015,43.16720828,2.41E-06,404.223899,877.2233416,40.53808488,543.9301649
260.8484486,57.08630177,938.9373305,1.492128196,1.783563607,0.178844918,392.7294594,1296.539882,34.19639561,2.97E-06,402.0872762,801.1246544,38.96062331,416.4623265
304.9512863,115.1917846,1159.933338,0.868602033,1.801810894,0.711928317,682.8408597,1231.414497,38.53180772,1.64E-05,472.0379861,879.3799882,48.87701212,489.4624909
286.3890037,167.3232446,808.7293587,0.229871081,0.664845688,1.163514857,682.3733201,1342.561894,33.68977771,1.74E-06,430.2421591,719.3635762,46.05180438,461.9322683
258.245828,35.09189679,1065.515874,1.589143701,0.536988133,1.730076337,362.631186,1499.06073,46.82274108,1.35E-05,478.0634104,885.9048528,41.11219247,450.2244743
322.3705789,134.6130401,1185.357774,0.642940817,0.881477547,1.36716215,592.5888599,1420.276218,34.93607542,6.18E-06,453.1129884,810.8348631,49.82234225,467.2853156
227.8987721,74.60235111,1024.067273,0.922257071,0.557010012,0.927253014,897.299359,1526.717348,45.25426127,1.76E-05,408.5560075,612.6017302,37.06665552,493.0044791
258.4289297,168.6594293,1174.728985,1.402343378,1.377529302,1.910928217,899.3075354,1583.836859,44.04056175,1.02E-05,672.7912439,872.0618495,45.39293692,583.953694
273.2723687,175.6587368,820.9031517,0.731666699,1.669522901,1.466565881,369.4663654,1517.064991,32.31514464,6.81E-06,402.4669394,745.3418427,45.51083059,410.66244
291.2139968,171.6399734,967.5173276,0.207512747,1.378875049,1.867313885,363.5046179,1441.521232,26.90253476,1.08E-05,620.8246433,738.0980954,48.54113688,422.9306524
357.0351923,101.1321325,904.0631164,0.810449989,1.66626585,1.102417149,483.8868339,1397.336635,32.18246398,8.26E-06,445.6443661,769.9399818,52.51714094,442.4371528
239.9347564,159.3063976,1092.328386,1.894452307,0.854285108,0.591918122,912.3362438,1216.027635,44.78652127,1.17E-05,673.6688866,644.815364,44.32460946,512.1425451
302.8468877,156.6824098,1192.518836,1.319295355,0.397002244,0.200370704,390.2318096,1593.728792,26.82897607,3.18E-06,667.8387819,740.7498146,51.90684524,455.6610067
318.4829138,77.86507099,902.612025,1.375810382,1.5021068,1.479561218,803.9977618,1353.392449,35.73309038,1.99E-05,596.1703439,849.338165,46.78595173,532.9424051
209.2900825,154.3373211,1061.669841,1.301336092,0.78490156,0.330475696,370.8159337,1260.891286,44.18290244,9.09E-06,601.6702449,604.6447377,39.77955817,382.328191
321.5089704,35.55114521,879.2390531,0.478085064,1.375414568,0.675272744,736.1964976,1466.683542,30.60432425,7.62E-06,401.6017426,681.8751481,42.09860553,465.284703
234.1048247,119.4404818,1026.132102,0.894834342,0.61422349,1.111694725,549.2471094,1313.715316,39.26628911,1.45E-05,695.4614698,600.7363759,40.77285304,435.9385483
213.0103186,64.50132559,985.5729947,1.526785617,0.254336306,1.172391517,852.2397741,1434.311308,27.36894722,7.91E-06,663.3497811,724.7133927,33.96389807,529.3716364
