Brand,Tensile Strength (MPa),Hardness (HB),Elongation (%),Thermal Conductivity (W/m·K),Specific Heat (J/kg·K),Melting Temperature (°C),Carbon (%),Silicon (%),Manganese (%),Magnesium (%),Phosphorus (%),Sulfur (%)
ISO_1083_JS_500-7,595.1239203234952,275.17294987730145,16.892916757063837,39.92796587358111,520.6671204541337,1249.0582378593738,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_100-70-03,740.3270071344584,259.57681661438164,4.0115883038756195,35.92014804854567,540.6369641520373,1271.3792205485113,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-500-7,435.15504981605756,280.9598928139914,13.79354480691282,35.07468140856009,611.6906189106944,1250.9247534880644,3.7,2.4,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,722.3459546964574,294.19250791589536,17.593468981365277,24.31001517735102,676.6575784153853,1224.5843792529993,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,422.2613957427901,301.1455709613573,2.835178064719546,26.720141179802177,442.5982778056254,1292.5460520604272,3.6,2.3,0.4,0.04,0.04,0.02
ISO_1083_JS_500-7,736.9256141192727,279.87217888391393,12.915102090025767,29.31365083524559,491.27255914815873,1194.9907734697094,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-450-10,420.6541911498051,308.21331009930975,9.490466260816486,35.467620955644996,441.77405337823285,1152.8751831287466,3.6,2.3,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,407.2969925713444,221.19170739132588,11.266804085995554,38.29931730155937,583.6025589878366,1214.798405719516,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_500-7,678.7845849465687,231.7973736353358,3.3654613837491976,23.782782000459694,491.89029906626126,1154.951790385049,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-500-7,798.9022139073577,322.81025061114053,2.6881112298710317,38.44734969340206,497.83235575377205,1293.0905128789614,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-500-7,758.6441051896084,248.3791966769623,12.669866568814747,33.912493047081156,421.2747878463938,1181.4877068622077,3.7,2.4,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,630.399367122264,203.43407374641805,15.172950877131486,32.21541461370077,504.93881854227755,1268.339053592332,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,766.9582452342127,223.06867245020467,14.512245358927476,23.99682542563879,658.7489522204755,1266.1858124761548,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_100-70-03,402.1200025590422,233.5421651744467,10.700891645859798,21.11050065618301,469.9218435672505,1182.65933495244,3.9,2.7,0.4,0.05,0.05,0.01
ISO_1083_JS_600-3,790.026865178057,343.5984331841881,3.597869138178851,31.369297970158797,608.5562398630198,1243.183979572025,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_600-3,596.2995117035138,285.9562143396274,13.008711101376221,33.03031366657785,588.8885034815778,1157.2118452729676,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_80-55-06,689.1584386487102,339.90961107143823,5.870222136866335,24.215628987093766,659.0453825107346,1222.53618785558,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_450-10,728.3445892613411,286.27450257449374,16.577099244278138,31.12912411650913,439.6863842953115,1152.197069090873,3.7,2.4,0.4,0.04,0.04,0.02
ISO_1083_JS_400-18,687.3829083346214,271.90316602067776,15.412245752731279,37.12986805525147,693.276988103513,1288.1715820271263,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,614.0146928179643,247.05915367911442,13.350127473398254,36.7013189091004,574.7885938121096,1296.4129036299357,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_600-3,590.6477936505648,290.95564166500634,17.181535293298086,38.547103611725944,698.6422457040443,1183.3424149957877,3.9,2.6,0.4,0.05,0.04,0.02
EN-GJS-600-3,735.43302348105,220.87970369262948,2.502749144180367,27.31771619113761,673.4544177597552,1181.215905189456,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_450-10,482.03102405978365,334.7392440939059,13.779206800972192,26.360991451018375,466.4551816339317,1263.0580264843195,3.7,2.4,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,787.1976266016936,324.39986077119255,7.283884469382485,34.98852011961617,416.8486029709939,1188.0069098244003,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-600-3,684.3809915346993,247.62971718151056,16.497054170981844,28.6222481019401,476.6917281386085,1284.2614838742768,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_400-18,479.8027709353279,342.91962914019416,6.266803146591641,21.750973280555613,558.2690946998259,1236.0893704184473,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_60-40-18,694.4988734793953,323.78011511233524,13.597703989040273,25.656022613409995,451.478910119557,1202.616643451547,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-600-3,611.9360092724467,299.9460328752559,16.042352314412504,28.37164571062978,450.23792335539656,1274.904061952413,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-450-10,682.8920382577778,218.26428666879121,2.666509094122919,25.850328509525042,538.778064131546,1224.0110050620092,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_450-10,707.1118005771355,271.7351034572108,8.362361273472578,26.64411141894643,409.9803913508075,1286.7449370562713,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-600-3,434.9160718358702,275.9161332270126,14.196944512351019,25.875518123487815,436.5664247596811,1289.202135509407,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-400-18,602.4415825437388,234.882703754807,9.278702232121393,20.82998334366159,524.7584018223843,1174.8130228192615,3.5,2.2,0.3,0.04,0.05,0.01
ASTM_A536_60-40-18,772.8057369027737,211.9948091538953,6.276042076697525,32.74189401648885,418.93897276238994,1150.3485109197895,3.6,2.4,0.4,0.04,0.05,0.01
EN-GJS-500-7,528.2568768638057,316.5085445707539,5.51688558117104,31.945848407069384,519.0265169366588,1297.5896410213604,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-500-7,637.5532390231596,218.30525781865924,4.104292270662047,33.067669969573615,542.2018797845335,1285.9206304191218,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-450-10,547.6921926039585,289.1436125842662,15.714072957700516,23.846197920672548,535.3799842219344,1158.3167853555763,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-600-3,581.7071888876399,340.4673760825491,11.205686452024896,25.913090832249708,660.7524572209262,1274.9551395911606,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,619.4412471752613,331.4157788897064,3.2221591198632957,32.392318538898444,559.0187365155198,1218.670739883881,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_80-55-06,619.5687919555909,241.66289356238917,8.121285177130167,31.992551369198427,540.394138743413,1188.8442407537464,3.8,2.6,0.4,0.05,0.05,0.01
EN-GJS-600-3,480.69218493209434,327.7172956326898,7.883738412881758,30.126606187085358,523.2127736174998,1281.8119785515396,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_500-7,673.8286191519333,200.0498759180734,4.907827051351408,27.00826500020395,645.2870134913459,1179.5000848585462,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_100-70-03,435.14724449706273,202.65317144198858,8.968122007555051,38.2586200954938,668.5169811999499,1292.09499991301,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-400-18,455.5299093768082,290.3829745764298,7.313589846290183,26.795404845976876,655.9727407591353,1180.8432231549011,3.5,2.2,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,401.08435976573185,254.7197328716794,7.4688592878749205,29.11238312874503,602.0639734394173,1242.0524781593115,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_400-18,446.6784256566725,257.96912617387204,13.824424924607339,33.56227661908417,441.20852379060227,1183.4629501793463,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_80-55-06,589.2664804207569,284.66616360183235,5.572214168083141,30.86042861733528,483.06099084760365,1231.8502997452952,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_500-7,642.4407524223354,228.76736833877908,12.269759341685686,26.93771952728771,413.81891910459325,1252.5962694872712,3.8,2.5,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,717.715779986585,231.76330259982174,11.130393982094958,28.712895809130195,679.2472224970343,1178.5341896230207,3.6,2.3,0.4,0.04,0.04,0.02
EN-GJS-400-18,442.67970004537443,272.6902380528297,11.089480197405877,35.889616357070125,598.2395589072731,1228.132867405102,3.5,2.2,0.3,0.04,0.05,0.01
ISO_1083_JS_500-7,740.2909840065819,313.13803165157947,12.608117538268415,25.56258310973225,623.9088652939724,1220.3589616585177,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_65-45-12,698.3898102194872,292.9246627111381,10.774112579130463,22.845104795536308,493.47152187466867,1160.655613210501,3.7,2.5,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,563.4073171743668,244.60325723552583,16.068081837542152,26.263264036595544,653.6960566832026,1272.7461726512954,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-400-18,773.1752268399819,264.55057662633817,12.809281471204157,36.990684309758024,477.88098511254356,1200.3523600964263,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-600-3,796.3717905829562,225.59971378249975,10.75141202194221,21.779794297126934,400.4931271337349,1236.187329632782,3.8,2.5,0.3,0.05,0.05,0.01
ASTM_A536_65-45-12,482.0007240212949,211.19447215056226,15.276209924602318,39.83392146744904,512.9244887562082,1227.2176352399701,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-450-10,551.6914339855202,317.4044061116224,11.698345038935676,30.82005797855325,571.228444287722,1226.9890756855664,3.6,2.3,0.3,0.04,0.05,0.01
EN-GJS-400-18,770.5797694358845,239.80811137822917,6.658307964562864,39.696914879341875,543.6114573896567,1166.083359131273,3.5,2.2,0.3,0.04,0.05,0.01
EN-GJS-450-10,688.6386203005109,226.66495817768723,5.3135186908251395,38.77992844171955,658.6228427729791,1213.5223013874,3.6,2.3,0.3,0.04,0.05,0.01
ISO_1083_JS_400-18,419.2378575856351,303.7427083353979,4.437244570602861,29.056274284218336,431.62158578685006,1217.8550138809856,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,712.605792700566,292.70775114307787,16.391283400737628,23.96982149210698,566.1470321901177,1260.0464260546673,3.7,2.5,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,731.1763548709968,294.9784439020196,13.362166908769053,23.297695531302768,553.8938049462722,1276.0028247881048,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-600-3,700.2007699061254,234.33419072699203,16.99805501062913,24.79978727739915,484.4178946516489,1231.7473417150027,3.8,2.5,0.3,0.05,0.05,0.01
EN-GJS-600-3,719.8148523678062,234.89683078440214,11.652668891439088,34.20265281129075,646.6684337731032,1163.0174431097487,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_500-7,730.053070677119,233.12039446784587,9.5744141039186,25.458999894629756,625.8545967646619,1185.5274205894818,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-600-3,474.56199471525764,226.06288934934418,2.955463823534229,26.828505392085965,619.8577561995493,1174.7401040279096,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_600-3,494.27669842599994,298.3585508842484,12.746276504736477,28.975576079892296,662.8577434808668,1168.6922594783687,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_80-55-06,653.5034254880709,327.2023827874102,11.315340156291699,38.26465360842913,616.8353801864564,1204.884894792671,3.8,2.6,0.4,0.05,0.05,0.01
ASTM_A536_60-40-18,763.1464521850064,308.64762045149917,17.843342297401943,23.787868357696922,469.55238751441794,1184.4090253231573,3.6,2.4,0.4,0.04,0.05,0.01
ASTM_A536_100-70-03,526.4786329185979,318.8140450640815,5.826540444515889,20.10053105219606,611.6688134949073,1182.7454667717268,3.9,2.7,0.4,0.05,0.05,0.01
ASTM_A536_65-45-12,635.3226703180227,260.71976436278,10.491797684589374,21.2019282075634,492.3108440169532,1158.20397618644,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_600-3,673.192825366853,298.1113693057997,12.415317361889162,38.09532683360236,472.6523951042412,1152.650506719315,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_100-70-03,580.7794405196157,253.13543606671618,12.313458795877498,32.95032929686727,421.9010778698882,1165.4152363974672,3.9,2.7,0.4,0.05,0.05,0.01
ASTM_A536_65-45-12,685.5129819421304,278.825693295296,10.980696687174444,25.460812386556135,623.208574104303,1175.829621913545,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_450-10,759.8669781168692,272.24522698022935,14.430848165235608,23.54385002022382,613.3002885849434,1214.6475593272305,3.7,2.4,0.4,0.04,0.04,0.02
ISO_1083_JS_450-10,649.6406176727351,226.53307177157816,5.279699352429063,25.885334732742287,470.3498433022281,1226.5780391948267,3.7,2.4,0.4,0.04,0.04,0.02
EN-GJS-450-10,615.9124247658532,258.06181405034465,13.610035204390654,22.295938545025603,624.8137050172468,1171.0887877260047,3.6,2.3,0.3,0.04,0.05,0.01
ASTM_A536_100-70-03,575.4978701553356,344.5733413223527,11.915753142929427,38.83065820568882,675.3522649280659,1213.717501228628,3.9,2.7,0.4,0.05,0.05,0.01
