Brand,Tensile Strength (MPa),Hardness (HB),Elongation (%),Thermal Conductivity (W/m·K),Specific Heat (J/kg·K),Melting Temperature (°C),Carbon (%),Silicon (%),Manganese (%),Magnesium (%),Phosphorus (%),Sulfur (%)
ISO_1083_JS_500-7,595.1239203,275.1729499,16.89291676,39.92796587,520.6671205,1249.058238,3.8,2.5,0.4,0.05,0.04,0.02
ASTM_A536_100-70-03,740.3270071,259.5768166,4.011588304,35.92014805,540.6369642,1271.379221,3.9,2.7,0.4,0.05,0.05,0.01
EN-GJS-500-7,435.1550498,280.9598928,13.79354481,35.07468141,611.6906189,1250.924753,3.7,2.4,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,722.3459547,294.1925079,17.59346898,24.31001518,676.6575784,1224.584379,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,422.2613957,301.145571,2.835178065,26.72014118,442.5982778,1292.546052,3.6,2.3,0.4,0.04,0.04,0.02
ISO_1083_JS_500-7,736.9256141,279.8721789,12.91510209,29.31365084,491.2725591,1194.990773,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-450-10,420.6541911,308.2133101,9.490466261,35.46762096,441.7740534,1152.875183,3.6,2.3,0.3,0.04,0.05,0.01
ASTM_A536_80-55-06,407.2969926,221.1917074,11.26680409,38.2993173,583.602559,1214.798406,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_500-7,678.7845849,231.7973736,3.365461384,23.782782,491.8902991,1154.95179,3.8,2.5,0.4,0.05,0.04,0.02
EN-GJS-500-7,798.9022139,322.8102506,2.68811123,38.44734969,497.8323558,1293.090513,3.7,2.4,0.3,0.04,0.05,0.01
EN-GJS-500-7,758.6441052,248.3791967,12.66986657,33.91249305,421.2747878,1181.487707,3.7,2.4,0.3,0.04,0.05,0.01
ISO_1083_JS_600-3,630.3993671,203.4340737,15.17295088,32.21541461,504.9388185,1268.339054,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_400-18,766.9582452,223.0686725,14.51224536,23.99682543,658.7489522,1266.185812,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_100-70-03,402.1200026,233.5421652,10.70089165,21.11050066,469.9218436,1182.659335,3.9,2.7,0.4,0.05,0.05,0.01
ISO_1083_JS_600-3,790.0268652,343.5984332,3.597869138,31.36929797,608.5562399,1243.18398,3.9,2.6,0.4,0.05,0.04,0.02
ISO_1083_JS_600-3,596.2995117,285.9562143,13.0087111,33.03031367,588.8885035,1157.211845,3.9,2.6,0.4,0.05,0.04,0.02
ASTM_A536_80-55-06,689.1584386,339.9096111,5.870222137,24.21562899,659.0453825,1222.536188,3.8,2.6,0.4,0.05,0.05,0.01
ISO_1083_JS_450-10,728.3445893,286.2745026,16.57709924,31.12912412,439.6863843,1152.197069,3.7,2.4,0.4,0.04,0.04,0.02
ISO_1083_JS_400-18,687.3829083,271.903166,15.41224575,37.12986806,693.2769881,1288.171582,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,614.0146928,247.0591537,13.35012747,36.70131891,574.7885938,1296.412904,3.7,2.5,0.4,0.04,0.05,0.01
ISO_1083_JS_600-3,590.6477937,290.9556417,17.18153529,38.54710361,698.6422457,1183.342415,3.9,2.6,0.4,0.05,0.04,0.02
EN-GJS-600-3,735.4330235,220.8797037,2.502749144,27.31771619,673.4544178,1181.215905,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_450-10,482.0310241,334.7392441,13.7792068,26.36099145,466.4551816,1263.058026,3.7,2.4,0.4,0.04,0.04,0.02
ASTM_A536_65-45-12,787.1976266,324.3998608,7.283884469,34.98852012,416.848603,1188.00691,3.7,2.5,0.4,0.04,0.05,0.01
EN-GJS-600-3,684.3809915,247.6297172,16.49705417,28.6222481,476.6917281,1284.261484,3.8,2.5,0.3,0.05,0.05,0.01
ISO_1083_JS_400-18,479.8027709,342.9196291,6.266803147,21.75097328,558.2690947,1236.08937,3.6,2.3,0.4,0.04,0.04,0.02
ASTM_A536_60-40-18,694.4988735,323.7801151,13.59770399,25.65602261,451.4789101,1202.616643,3.6,2.4,0.4,0.04,0.05,0.01
